"date","sales_quantity","net_sales"
2025-03-18,16032.34,218234.77
2025-03-19,25936.97,271472.93
2025-03-20,25908.42,328569.57
2025-03-21,22674.35,303148.28
2025-03-22,10207.93,135705.78
2025-03-24,20627.51,264953.98
2025-03-25,17064.73,149353.95
2025-03-26,12332.61,161950.39
2025-03-27,26897.47,229429.89
2025-03-28,13851.00,157184.88
2025-03-29,4670.97,50978.33
2025-03-31,9675.47,104528.87
2025-04-01,21916.47,298538.63
2025-04-02,12875.51,166390.00
2025-04-03,27876.49,379315.12
2025-04-04,18723.98,226254.64
2025-04-05,15008.95,197217.27
2025-04-07,17047.79,229672.80
2025-04-08,17965.29,203598.73
2025-04-09,14176.11,178439.93
2025-04-10,21975.19,287666.07
2025-04-11,26409.18,339167.96
2025-04-12,16476.57,223809.66
2025-04-14,22902.86,284573.97
2025-04-15,14950.78,181530.47
2025-04-16,20186.97,258993.37
2025-04-17,15602.04,197729.26
2025-04-21,15036.82,180117.27
2025-04-22,22615.20,283841.79
2025-04-23,15577.22,176945.10
2025-04-24,27848.13,356760.97
2025-04-25,20027.34,224686.61
2025-04-26,17210.46,225190.72
2025-04-28,16951.54,204942.30
2025-04-29,11125.08,138371.48
2025-04-30,14753.49,180889.22
2025-05-01,6299.00,102776.65
2025-05-02,24992.60,355023.32
2025-05-03,12688.06,180212.36
2025-05-05,19784.17,267146.87
2025-05-06,19913.02,276494.05
2025-05-07,15309.96,199665.38
2025-05-08,24474.84,325814.08
2025-05-09,15430.16,214651.19
2025-05-10,12424.93,157012.82
2025-05-12,18110.81,228744.87
2025-05-13,14205.68,173049.56
2025-05-14,15136.36,189446.92
2025-05-15,17398.97,218598.43
2025-05-16,25746.73,321790.09
2025-05-17,9955.13,126201.86
2025-05-19,15812.87,207085.19
2025-05-20,18358.34,234966.54
2025-05-21,27975.44,195092.86
2025-05-22,21212.71,258875.14
2025-05-23,16869.11,199063.02
2025-05-24,12796.24,216362.12
2025-05-26,14810.57,186668.43
2025-05-27,14107.52,184246.35
2025-05-28,11876.62,139099.82
2025-05-29,15576.31,200460.34
2025-05-30,18613.96,245749.50
2025-05-31,5008.15,60616.22
2025-06-02,27672.39,363900.07
2025-06-03,22474.22,275894.15
2025-06-04,14788.07,187378.36
2025-06-05,23766.83,359353.39
2025-06-06,17723.41,213637.82
2025-06-07,10292.80,129237.38
2025-06-09,20385.68,245718.75
2025-06-10,19232.99,267933.72
2025-06-11,21070.69,249305.44
2025-06-12,19700.70,240235.54
2025-06-13,14975.42,189370.65
2025-06-14,10094.73,129916.13
2025-06-16,35343.47,164544.85
2025-06-17,15127.36,207430.42
2025-06-18,16167.47,200005.06
2025-06-19,20832.92,289599.94
2025-06-20,16077.14,180177.23
2025-06-21,11572.23,156612.28
2025-06-23,16405.04,199748.36
2025-06-24,18759.04,253058.65
2025-06-25,14197.27,164873.98
2025-06-26,14064.19,139113.53
2025-06-27,38775.50,241845.01
2025-06-28,6685.45,74122.24
2025-06-30,18262.90,184674.01
2025-07-01,22350.86,343549.18
2025-07-02,16620.47,208101.88
2025-07-03,31977.32,393506.60
2025-07-04,16499.83,238883.64
2025-07-05,17697.11,227092.79
2025-07-07,21175.51,279231.53
2025-07-08,17983.07,266045.29
2025-07-09,13474.12,164122.47
2025-07-10,14703.22,179199.38
2025-07-11,20566.36,313050.17
2025-07-12,10919.02,147346.87
2025-07-14,17261.49,197120.90
2025-07-15,203670.66,211407.56
2025-07-16,13530.37,179131.29
2025-07-17,15871.04,206118.65
2025-07-18,18134.00,240290.13
2025-07-19,15226.44,205276.00
2025-07-21,16220.46,196134.05
2025-07-22,16039.61,202582.87
2025-07-23,17635.58,200308.30
2025-07-24,16865.42,212217.57
2025-07-25,29769.62,375357.76
2025-07-26,9472.21,125746.89
2025-07-28,14144.41,173959.04
2025-07-29,12505.09,151378.69
2025-07-30,10339.21,126312.86
2025-07-31,12244.52,149430.57
2025-08-01,35369.41,452827.01
2025-08-02,11080.86,148004.17
2025-08-04,18064.11,234498.37
2025-08-05,23665.72,331547.81
2025-08-06,42274.98,231624.87
2025-08-07,26987.94,366269.19
2025-08-08,22125.90,258813.96
2025-08-09,15799.05,219847.72
2025-08-11,21649.56,269541.54
2025-08-12,16810.75,200100.57
2025-08-13,15420.20,184622.67
2025-08-14,17227.12,218528.38
2025-08-15,20262.27,269035.24
2025-08-16,11293.30,142376.44
2025-08-18,15755.69,193836.73
2025-08-19,15624.96,196364.28
2025-08-20,15911.47,193311.97
2025-08-21,35662.02,483814.52
2025-08-22,16276.98,181981.90
2025-08-23,14323.32,189109.88
2025-08-25,18784.95,223511.13
2025-08-26,16599.57,201103.21
2025-08-27,18552.86,218706.49
2025-08-28,14120.89,208341.47
2025-08-29,12333.64,164338.37
2025-08-30,9918.28,128867.46
2025-09-01,26113.58,374660.73
2025-09-02,21358.26,306832.15
2025-09-03,20209.56,257343.32
2025-09-04,35259.88,581249.93
2025-09-05,48131.44,349270.95
2025-09-06,19004.80,240719.99
2025-09-08,24929.17,334797.14
2025-09-09,16639.20,217640.41
2025-09-10,21283.70,261331.18
2025-09-11,16972.31,224893.52
2025-09-12,14868.87,167517.15
2025-09-13,10701.28,130148.34
2025-09-15,17448.72,206258.88
2025-09-16,15367.05,183727.75
2025-09-17,17782.78,219233.43
2025-09-18,17460.09,221740.01
2025-09-19,25119.57,266281.76
2025-09-20,13916.44,180308.14
2025-09-22,17202.72,214892.55
2025-09-23,24718.67,311668.17
2025-09-24,15119.60,199701.93
2025-09-25,25574.36,389976.39
2025-09-26,15843.74,199387.81
2025-09-27,6574.77,76872.44
2025-09-29,12145.56,155269.21
2025-09-30,14825.83,169014.98
2025-10-01,14980.72,196174.72
2025-10-02,19410.67,259199.78
2025-10-03,12165.84,137591.79
2025-10-04,10759.58,148662.53
2025-10-06,13433.17,146032.94
2025-10-07,21198.05,257333.62
2025-10-08,17662.60,193301.44
2025-10-09,24047.54,349891.59
2025-10-10,16703.14,178896.49
2025-10-11,9939.96,120285.29
2025-10-13,26114.50,376577.37
2025-10-14,20716.77,324432.02
2025-10-15,14567.16,182887.81
2025-10-16,20001.99,327731.17
2025-10-17,18832.36,222354.99
2025-10-18,14951.32,203724.26
2025-10-20,15913.09,213529.59
2025-10-21,26520.43,308935.79
2025-10-22,16785.55,201778.53
2025-10-23,40701.35,536007.68
2025-10-24,19165.47,312829.56
2025-10-25,14504.76,171150.47
2025-10-27,24237.04,338518.63
2025-10-28,23476.13,316838.76
2025-10-29,28233.29,445083.92
2025-10-30,16583.90,181899.30
2025-10-31,6470.93,70523.62
2025-11-01,18612.43,260795.33
2025-11-06,25464.70,394820.40
2025-11-07,19238.50,237012.99
2025-11-08,16755.97,193860.07
2025-11-11,23107.90,326969.22
2025-11-12,33436.83,467997.26
2025-11-13,28832.79,365792.58
2025-11-14,45932.41,496403.42
2025-11-15,29455.56,293699.92
2025-11-17,25285.86,332784.53
2025-11-18,18283.07,227141.08
2025-11-19,19589.44,234986.43
2025-11-20,30405.16,331023.96
2025-11-21,26580.13,279661.48
2025-11-22,15942.64,195340.31
