"date","backorder_quantity","backorder_money"
2024-05-08,491.75,4050.11080000
2024-05-09,838.28,7153.12860000
2024-05-10,314.29,2984.80240000
2024-05-11,196.35,1557.12600000
2024-05-13,421.25,4566.04900000
2024-05-14,510.49,6357.00330000
2024-05-15,640.03,5837.61100000
2024-05-16,1265.60,13569.31080000
2024-05-17,234.48,2289.98100000
2024-05-18,363.12,2591.14000000
2024-05-20,369.22,2975.56360000
2024-05-21,578.60,5014.96340000
2024-05-22,470.25,4857.65160000
2024-05-23,947.41,9284.32060000
2024-05-24,477.17,4974.94820000
2024-05-25,519.12,5676.85460000
2024-05-27,904.34,9175.93380000
2024-05-28,895.49,12036.90220000
2024-05-29,596.94,6544.34180000
2024-05-30,902.82,9480.15640000
2024-05-31,290.23,3555.16040000
2024-06-01,355.82,3246.70940000
2024-06-03,604.30,6483.27440000
2024-06-04,567.95,5478.71200000
2024-06-05,635.75,5889.66900000
2024-06-06,1349.21,14447.37520000
2024-06-07,372.16,3263.83280000
2024-06-08,135.97,1040.25320000
2024-06-09,53.00,342.52000000
2024-06-10,801.50,6944.72200000
2024-06-11,403.42,4274.08560000
2024-06-12,362.63,6673.15360000
2024-06-13,543.53,11080.44360000
2024-06-14,438.64,11413.74480000
2024-06-15,332.95,6206.32440000
2024-06-17,528.10,4540.91400000
2024-06-18,683.22,6607.08360000
2024-06-19,636.91,9068.68880000
2024-06-20,519.17,7006.24880000
2024-06-21,173.67,3883.24880000
2024-06-22,310.11,8848.13920000
2024-06-23,30.00,836.56000000
2024-06-24,423.03,9046.29580000
2024-06-25,657.85,9568.11200000
2024-06-26,811.42,11422.61370000
2024-06-27,484.20,12708.89920000
2024-06-28,263.02,6395.73120000
2024-06-29,271.22,4862.36480000
2024-07-02,433.30,6420.73680000
2024-07-03,1057.05,15030.40840000
2024-07-04,719.43,9629.04360000
2024-07-05,455.21,5865.44990000
2024-07-06,409.48,6812.94500000
2024-07-08,1067.41,19152.25910000
2024-07-09,693.23,10158.64170000
2024-07-10,871.19,13198.27180000
2024-07-11,1537.95,22672.99950000
2024-07-12,583.47,7151.98290000
2024-07-13,509.58,8446.52130000
2024-07-15,874.47,15994.54520000
2024-07-16,600.66,10044.88920000
2024-07-17,565.80,7803.30120000
2024-07-18,929.44,13810.19560000
2024-07-19,441.85,9701.02930000
2024-07-20,345.38,8274.21560000
2024-07-22,597.68,10129.25000000
2024-07-23,655.40,9992.32600000
2024-07-24,648.08,8698.08960000
2024-07-25,1635.68,22806.17000000
2024-07-26,362.33,7103.67900000
2024-07-27,578.78,10250.99680000
2024-07-29,48.56,2231.39920000
2024-07-30,633.90,10014.23900000
2024-07-31,409.72,7634.96840000
2024-08-01,917.22,13426.69080000
2024-08-02,661.64,15795.53120000
2024-08-03,735.15,13774.29280000
2024-08-05,433.73,9756.47320000
2024-08-06,489.71,9209.99560000
2024-08-07,609.82,11587.38200000
2024-08-08,1083.23,19202.41080000
2024-08-09,485.61,10976.82360000
2024-08-10,451.74,9565.77320000
2024-08-11,1.00,19.68000000
2024-08-12,640.50,13262.87840000
2024-08-13,567.40,12705.69760000
2024-08-14,549.72,9699.18240000
2024-08-15,1184.55,18389.40800000
2024-08-16,377.27,8402.03480000
2024-08-17,414.34,9371.91360000
2024-08-19,710.10,14112.77480000
2024-08-20,698.12,7976.03620000
2024-08-21,1127.77,14709.18600000
2024-08-22,1873.02,19653.20960000
2024-08-23,1472.07,14658.90000000
2024-08-24,623.46,11706.90040000
2024-08-26,1001.26,15088.57560000
2024-08-27,1623.28,19514.88820000
2024-08-28,1014.45,13714.47660000
2024-08-29,1890.33,19737.01800000
2024-08-30,801.17,12804.95940000
2024-08-31,516.55,7670.91460000
2024-09-01,117.00,1985.29000000
2024-09-02,1487.64,18432.60780000
2024-09-03,1187.40,17050.11380000
2024-09-04,937.35,12413.76560000
2024-09-05,2803.89,29296.19160000
2024-09-06,1023.75,12953.76360000
2024-09-07,1110.92,15793.29820000
2024-09-09,1391.62,17288.02600000
2024-09-10,963.34,16641.81640000
2024-09-11,1214.18,16073.32000000
2024-09-12,2993.72,27668.74960000
2024-09-13,786.48,8139.08200000
2024-09-14,617.06,8117.71040000
2024-09-16,1125.96,14404.57140000
2024-09-17,1406.40,19392.31300000
2024-09-18,1725.85,16600.15200000
2024-09-19,4913.21,45939.14040000
2024-09-20,1627.31,18569.48780000
2024-09-21,926.24,11940.28120000
2024-09-23,1206.72,15124.68820000
2024-09-24,1298.65,15757.58280000
2024-09-25,1305.11,13281.78960000
2024-09-26,3351.12,44690.59480000
2024-09-27,674.47,7757.30520000
2024-09-28,561.90,9195.89840000
2024-09-29,102.00,322.36000000
2024-09-30,620.12,10059.64970000
2024-10-01,707.57,12263.01730000
2024-10-02,870.55,11511.43120000
2024-10-03,2445.50,29111.75520000
2024-10-04,750.54,9927.45760000
2024-10-05,529.14,8990.02520000
2024-10-07,842.81,11079.89840000
2024-10-08,977.66,13433.18840000
2024-10-09,1230.96,13503.82840000
2024-10-10,579.40,9450.13480000
2024-10-11,1447.09,12414.08240000
2024-10-12,547.42,7255.69200000
2024-10-13,27.00,497.88000000
2024-10-14,897.76,12264.29860000
2024-10-15,1046.82,14727.15580000
2024-10-16,1727.86,18581.99040000
2024-10-17,1670.72,24563.88640000
2024-10-18,602.42,8802.38600000
2024-10-19,552.35,9330.12820000
2024-10-20,131.00,2345.58000000
2024-10-21,815.29,12887.79440000
2024-10-22,1766.15,35496.56640000
2024-10-23,1708.15,24784.36940000
2024-10-24,543.96,10077.66280000
2024-10-25,968.25,13330.29300000
2024-10-26,1108.60,15631.02020000
2024-10-28,787.06,15919.62800000
2024-10-29,1184.53,12334.05520000
2024-10-30,1074.12,11202.86640000
2024-10-31,1539.68,16346.92240000
2024-11-01,803.31,8895.99340000
2024-11-02,412.99,4312.94640000
2024-11-06,1393.92,15893.50880000
2024-11-07,2515.93,30944.87780000
2024-11-08,1973.50,25950.07780000
2024-11-09,1630.81,20342.20900000
2024-11-11,106.00,1708.82000000
2024-11-12,1150.03,17418.99130000
2024-11-13,1422.89,18560.85680000
2024-11-14,1390.51,16707.62190000
2024-11-15,1032.90,10524.83000000
2024-11-16,699.68,6645.66640000
2024-11-18,1186.80,14227.48100000
2024-11-19,1644.13,17172.54140000
2024-11-20,2368.97,26775.92580000
2024-11-21,2833.80,29110.37440000
2024-11-22,1731.51,16477.96260000
2024-11-23,851.11,8283.82820000
2024-11-24,114.00,1170.98000000
2024-11-25,1973.22,19780.87380000
2024-11-26,2197.42,16641.80070000
2024-11-27,2357.38,27230.04100000
2024-11-29,1809.31,22601.79920000
2024-11-30,901.83,10479.01020000
2024-12-01,19.00,277.12000000
2024-12-02,1284.94,18211.18430000
2024-12-03,2116.58,23458.75680000
2024-12-04,1940.37,21259.29980000
2024-12-05,4081.34,53645.44380000
2024-12-06,2010.30,26197.63440000
2024-12-07,3492.64,74834.83060000
2024-12-10,3542.23,48265.14800000
2024-12-11,2242.53,29578.05860000
2024-12-12,5537.15,56518.89460000
2024-12-13,1090.97,11036.41040000
2024-12-14,1824.92,21276.80100000
2024-12-15,80.12,784.66680000
2024-12-16,2589.42,23773.32000000
2024-12-17,3475.66,35308.00180000
2024-12-18,7309.80,73317.53140000
2024-12-19,5441.56,48417.93260000
2024-12-21,2375.23,25156.40760000
2024-12-23,2782.66,26725.07750000
2024-12-24,1800.26,19070.33340000
2024-12-25,85.00,869.18000000
2024-12-26,3465.18,50770.78880000
2024-12-27,4048.35,36814.70780000
2024-12-28,1406.85,22023.87000000
2024-12-30,61.18,664.44960000
2025-01-02,2457.42,37099.08400000
2025-01-03,2750.65,35218.50550000
2025-01-04,1090.20,13869.30280000
2025-01-05,41.00,440.48000000
2025-01-06,1621.65,17623.03220000
2025-01-07,1739.18,20748.98080000
2025-01-08,1947.11,22390.12820000
2025-01-10,3148.04,38254.56700000
2025-01-11,1135.66,13732.83060000
2025-01-13,2186.14,21866.30560000
2025-01-14,1963.67,18207.89780000
2025-01-15,1783.87,27561.78280000
2025-01-16,2121.40,30880.50720000
2025-01-17,2495.69,30326.05490000
2025-01-18,737.17,8802.68860000
2025-01-20,2442.53,30527.06180000
2025-01-21,2872.79,41972.50900000
2025-01-22,2607.57,27046.98100000
2025-01-23,2906.57,31891.24800000
2025-01-24,1641.82,20328.78320000
2025-01-25,1286.70,14395.09200000
2025-01-27,1662.59,19854.19440000
2025-01-28,1576.32,17515.00920000
2025-01-29,1936.36,23439.41620000
2025-01-30,2168.88,29185.26420000
2025-01-31,929.90,10650.13600000
2025-02-01,904.63,9690.71320000
2025-02-03,1347.80,17807.18030000
2025-02-04,1485.42,15869.05910000
2025-02-05,1901.26,22324.58940000
2025-02-06,3054.63,40383.52300000
2025-02-07,1688.59,22667.77700000
2025-02-08,1344.93,16669.21500000
2025-02-10,1567.67,16449.22760000
2025-02-11,1496.17,15820.46360000
2025-02-12,1323.91,16496.14740000
2025-02-13,2986.23,41340.74020000
2025-02-14,1350.96,19207.43780000
2025-02-15,1247.46,17736.91380000
2025-02-17,1872.68,25560.99470000
2025-02-18,1424.51,19073.35640000
2025-02-19,1398.97,16902.01260000
2025-02-20,2206.14,27022.94500000
2025-02-21,1072.02,16885.33220000
2025-02-22,920.92,13194.84600000
2025-02-23,82.00,1458.79000000
2025-02-24,1362.90,25466.49070000
2025-02-25,967.81,13221.65540000
2025-02-26,826.26,13514.18920000
2025-02-27,2014.06,34184.85920000
2025-02-28,742.09,15743.57170000
2025-03-01,252.09,4677.28920000
2025-03-05,950.61,20151.51980000
2025-03-06,1279.47,24602.07500000
2025-03-07,641.76,12813.20860000
2025-03-08,773.36,18953.66310000
2025-03-10,1264.92,28790.21870000
2025-03-11,1917.92,34770.11410000
2025-03-12,1461.52,25770.37280000
2025-03-13,2327.53,37391.47880000
2025-03-14,1136.70,15920.35860000
2025-03-15,970.25,17000.12220000
2025-03-16,3.00,103.84000000
2025-03-17,1547.30,23621.95960000
2025-03-18,1542.83,19060.28790000
2025-03-19,1295.27,17669.65840000
2025-03-20,1829.00,20818.85440000
2025-03-21,2271.76,31094.94920000
2025-03-22,905.02,14611.56340000
2025-03-23,60.00,975.32000000
2025-03-24,1582.35,27849.92400000
2025-03-25,1748.90,20557.05800000
2025-03-26,807.06,11522.24300000
2025-03-27,2215.74,29077.81900000
2025-03-28,1257.51,16177.27060000
2025-03-29,640.94,8597.60020000
2025-03-30,87.00,561.10000000
2025-03-31,1072.13,13617.84100000
2025-04-01,1580.15,21568.88850000
2025-04-02,1317.26,19454.57840000
2025-04-03,2612.22,33748.77800000
2025-04-04,1960.33,23866.74920000
2025-04-05,1348.47,13376.11100000
2025-04-07,2166.59,26266.61700000
2025-04-08,1842.13,20514.38320000
2025-04-09,1254.87,17793.47360000
2025-04-10,1815.05,22184.54560000
2025-04-11,2989.16,39055.73060000
2025-04-12,1397.56,17041.04960000
2025-04-13,235.00,2836.27000000
2025-04-14,2747.47,29399.62720000
2025-04-15,1588.69,16361.48300000
2025-04-16,3052.50,45226.22140000
2025-04-17,1693.47,19654.12700000
2025-04-21,2115.14,27974.08700000
2025-04-22,2717.42,27142.56700000
2025-04-23,1592.33,19284.94280000
2025-04-24,4443.71,56039.49260000
2025-04-25,3106.08,36217.21480000
2025-04-26,2339.56,27975.32860000
2025-04-27,113.00,1211.65000000
2025-04-28,2735.96,33472.82040000
2025-04-29,2087.62,21414.26560000
2025-04-30,2384.43,25456.77580000
2025-05-02,4456.03,43997.96900000
2025-05-03,2432.64,27806.17900000
2025-05-05,4798.96,53655.53060000
2025-05-06,3520.53,36008.05960000
2025-05-07,3188.07,33549.35480000
2025-05-08,5568.41,54352.62240000
2025-05-09,3246.65,28515.03520000
2025-05-10,2054.13,20199.82580000
2025-05-11,223.00,1938.06000000
2025-05-12,3795.91,46445.59800000
2025-05-13,2484.07,25374.14340000
2025-05-14,1966.63,21364.56140000
2025-05-15,2163.34,27129.54600000
2025-05-16,4648.64,48693.06600000
2025-05-17,807.83,8716.61720000
2025-05-19,3647.65,38537.64200000
2025-05-20,3822.94,34219.58320000
2025-05-21,2841.21,28755.52660000
2025-05-22,4514.66,48572.58520000
2025-05-23,2251.50,21761.40200000
2025-05-24,1943.61,17970.58560000
2025-05-25,352.00,3619.47000000
2025-05-26,2442.90,25287.88080000
2025-05-27,2069.87,18750.82380000
2025-05-28,1831.72,16567.53080000
2025-05-29,1657.17,18650.56060000
2025-05-30,2697.85,28988.35960000
2025-05-31,644.04,6921.29820000
2025-06-02,2484.35,24375.10560000
2025-06-03,2312.59,23466.53260000
2025-06-04,2120.24,22550.43120000
2025-06-05,3772.84,40377.37380000
2025-06-06,2183.32,19133.58080000
2025-06-07,1087.35,13789.79280000
2025-06-09,2416.74,25715.53620000
2025-06-10,1688.82,18821.98760000
2025-06-11,3900.59,43143.33140000
2025-06-12,3355.20,38296.92460000
2025-06-13,2267.08,19629.74420000
2025-06-14,1543.91,17335.12680000
2025-06-16,2655.37,27480.91760000
2025-06-17,2718.03,29385.48740000
2025-06-18,3010.45,28892.56680000
2025-06-19,4786.68,46827.26700000
2025-06-20,3418.49,34080.34040000
2025-06-21,2001.95,21016.98460000
2025-06-23,2773.07,31391.45980000
2025-06-24,3329.81,39297.31040000
2025-06-25,3551.90,41742.44800000
2025-06-26,1760.02,23611.38670000
2025-06-27,2919.75,33635.47680000
2025-06-28,1354.07,19618.04240000
2025-06-29,5.12,67.20000000
2025-06-30,1914.49,24041.59220000
2025-07-01,2358.68,23431.90880000
2025-07-02,3372.95,33785.38360000
2025-07-03,5954.06,56844.41700000
2025-07-04,2642.94,28283.67040000
2025-07-05,2396.90,23002.36040000
2025-07-07,3103.05,33914.13880000
2025-07-08,2095.89,19412.74010000
2025-07-09,1781.12,16780.26540000
2025-07-14,2076.79,15654.14740000
2025-07-15,2177.03,17020.50300000
2025-07-16,1834.70,11481.25320000
2025-07-17,1676.26,11586.07340000
2025-07-18,4061.92,33464.03500000
2025-07-19,1190.15,8398.38540000
2025-07-21,1892.96,12294.36270000
2025-07-22,1986.81,14172.90820000
2025-07-23,1745.11,11695.79240000
2025-07-24,1670.19,12444.67380000
2025-07-25,3504.65,24521.22400000
2025-07-26,951.28,7100.65000000
2025-07-28,2451.89,16395.78020000
2025-07-29,1338.71,7494.95220000
2025-07-30,1113.98,5806.65380000
2025-07-31,1016.50,8817.51540000
2025-08-01,7693.49,59467.69300000
2025-08-02,978.44,5629.43640000
2025-08-04,1370.56,7770.27980000
2025-08-05,2109.77,13338.49320000
2025-08-06,1943.00,12096.96360000
2025-08-07,6194.90,63767.52380000
2025-08-08,7896.59,73672.03270000
2025-08-09,723.00,5715.31000000
2025-08-11,1926.54,15380.53080000
2025-08-12,1883.68,13531.90340000
2025-08-13,2197.99,18734.84520000
2025-08-14,1866.09,14497.11720000
2025-08-15,2553.23,20872.07040000
2025-08-16,715.20,5647.68560000
2025-08-18,1624.53,14472.46820000
2025-08-19,1873.78,18078.38420000
2025-08-20,2077.16,30772.58300000
2025-08-21,4872.08,77599.24840000
2025-08-22,2177.47,12739.51540000
2025-08-23,759.76,10380.90560000
2025-08-25,1276.50,14538.17510000
2025-08-26,1308.63,13316.85620000
2025-08-28,4428.36,41094.33280000
2025-08-29,721.46,6906.44260000
2025-08-30,482.58,4254.34620000
2025-09-01,1312.22,13849.27840000
2025-09-02,1186.54,10749.71060000
2025-09-03,1394.77,12829.00760000
2025-09-04,1016376.13,10167452.76500000
2025-09-05,3786.73,38954.39600000
2025-09-06,715.19,8425.38180000
2025-09-08,1922.89,31037.41360000
2025-09-09,1392.52,15042.82040000
2025-09-10,2002.05,34076.54080000
2025-09-11,1828.79,22472.40480000
2025-09-12,1246.22,17301.23820000
2025-09-13,513.51,5753.07420000
2025-09-15,1085.33,14905.75680000
2025-09-16,1068.79,12198.54420000
2025-09-17,869.42,10170.51860000
2025-09-18,854.60,14016.42680000
2025-09-19,6143.37,60943.97060000
2025-09-20,407.04,5313.31060000
2025-09-22,487.83,6707.26040000
2025-09-23,760.32,10777.42410000
2025-09-24,910.89,11442.19780000
2025-09-25,1500.39,25903.22400000
2025-09-26,530.70,9211.21340000
2025-09-27,209.51,3291.57100000
2025-09-29,663.41,9486.47870000
2025-09-30,419.39,7239.13020000
2025-10-01,538.23,9061.38240000
2025-10-02,1092.66,17914.83520000
2025-10-03,799.77,8958.99460000
2025-10-04,91.00,1602.48000000
2025-10-06,569.79,8598.47260000
2025-10-07,1298.26,26162.74260000
2025-10-08,927.52,16579.79840000
2025-10-09,1296.34,30238.02180000
2025-10-10,686.78,15602.97500000
2025-10-11,223.38,5297.91660000
2025-10-13,2759.90,46358.37670000
2025-10-14,479.35,9148.49220000
2025-10-15,820.89,17740.03410000
2025-10-16,534.61,11369.95740000
2025-10-17,2013.49,31761.12460000
2025-10-18,573.27,13711.31380000
2025-10-20,418.95,8693.55160000
2025-10-21,573.52,11041.09800000
2025-10-22,563.66,13146.62600000
2025-10-23,3374.39,47455.94900000
2025-10-24,611.62,17485.60580000
2025-10-25,278.54,4162.32820000
2025-10-27,993.01,15482.97080000
2025-10-28,515.47,12930.17760000
2025-10-29,564.90,13757.59520000
2025-10-30,504.86,8572.54420000
2025-10-31,197.92,4577.48780000
2025-11-01,319.47,7471.67520000
2025-11-06,471.52,10476.83200000
2025-11-07,702.28,18149.09420000
2025-11-08,300.03,6563.44000000
2025-11-11,629.62,11374.84400000
2025-11-12,875.48,18376.92440000
2025-11-13,4846.03,59792.27000000
2025-11-14,1720.51,35943.82840000
2025-11-15,1298.01,23123.38420000
2025-11-17,2667.94,80751.06500000
2025-11-18,714.08,12097.84020000
2025-11-19,823.89,17400.37020000
2025-11-20,1184.97,27314.58900000
2025-11-21,4520.29,48488.42500000
2025-11-22,325.19,6912.21280000
